 ispLEVER Classic 2.0.00.17.20.15 Fitter Report File 
Project Name,lcdram
Project Path,C:\Users\Alberto Rios\Documents\IPN\ESCOM\5semestre\Arquitectura\VHDL\LCDRAM
Project Fitted on,Wed May 18 22:06:40 2016

Pin,Pin_Type,Bank,GLB_Pad,Assigned,I/O_Type,Signal_Type,Signal_Name,PG
119,VCCIO1,-,,,,,,
120,I_O,1,P12,,,,,
121,I_O,1,P10,,,,,
122,I_O,1,P8,*,LVCMOS18,Output,outcc0_5_,
123,I_O,1,P6,*,LVCMOS18,Output,outcc0_3_,
124,I_O,1,P4,*,LVCMOS18,Output,outcc0_1_,
125,I_O/OE,1,P2,,,,,
126,INCLK3,1,,,,,,
127,GNDIO0,-,,,,,,
128,INCLK0,0,,,,,,
129,VCC,-,,,,,,
130,I_O/OE,0,A2,*,LVCMOS18,Output,outContWrite0_2_,
131,I_O,0,A4,*,LVCMOS18,Output,outContWrite0_0_,
132,I_O,0,A6,,,,,
133,I_O,0,A8,,,,,
134,I_O,0,A10,*,LVCMOS18,Output,RS0,
135,I_O,0,A12,*,LVCMOS18,Output,EN0,
136,VCCIO0,-,,,,,,
137,GNDIO0,-,,,,,,
138,I_O,0,B2,*,LVCMOS18,Output,outword0_2_,
139,I_O,0,B4,*,LVCMOS18,Output,outword0_3_,
140,I_O,0,B6,*,LVCMOS18,Output,outword0_5_,
141,I_O,0,B8,*,LVCMOS18,Output,outword0_6_,
142,I_O,0,B10,*,LVCMOS18,Output,outword0_7_,
143,I_O,0,B12,,,,,
144,IN9,0,,,,,,
